term,label,class_name,material_scope,definition,examples,usage,source,rdf_type,datatype,required,notes,editorial_notes,namespace,namespace_iri
dcterms:language,Language,MineralName,Mineral,Language of the name,en,"Recommended practice is to use either a non-literal value representing a language from a controlled vocabulary such as ISO 639-2 or ISO 639-3, or a literal value consisting of an IETF Best Current Practice 47 language tag.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
mineralNamePublishedIn,Mineral Name Published In,MineralName,Mineral,"A reference to the publication in which the name is derived, provided as formal citations or URI to an external resources","Strunz, H. & Nickel, E.H. (2001): Strunz mineralogical tables. Schweizerbart, Stuttgart, 869 p. | Gaines, R.V., Skinner, H.C., Foord, E.E., Mason, B., Rosenzweig, A. (1997): Dana’s new mineralogy. Wiley & Sons, New York, 1819 p.",Narrower scope than dwc:namePublishedIn,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,The term 'mineral' is prepended to term in order to distinguish them from similarly named terms in Darwin Core,,minext,http://rs.tdwg.org/minext/terms/
classificationCode,Classification Code,MineralName,Mineral,Alphanumeric pattern that adheres to a defined encoding scheme that identifies a particular term in a classification scheme,71.02.02a.01 | 9.AD.25,Classification codes are specific to a classification system and conform to a xkos:notationPattern,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Classification codes conform to a specific pattern specific to the scheme. See xkos:notationPattern,,minext,http://rs.tdwg.org/minext/terms/
nameType,Name Type,MineralName,Mineral,A term belonging a categorization scheme for organizing names based on usage and concept linneage,Variety | Synonym | Classification | Historical | Group Name,"Ideally, terms in this field are derived from a enumerated domain. See Gavryliv (2023) for a detailed breakdown of informal, alternate names.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,"Best suited for enumerated domains, but careful quantification is challenging with very specific definitions.",,minext,http://rs.tdwg.org/minext/terms/
nameConfirmationTechnique,Name Confirmation Technique,MineralName,Mineral,Analytical technique utlized to confirm the identity of a mineral,X-ray Diffraction | Raman Spectroscopy,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
nameRemarks,Name Remarks,MineralName,Mineral,"Statements that provide further information on any part of a mineral name, especially information not captured elsewhere in the mineral name class",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
MaterialAssertion,Material Assertion,MaterialAssertion,,"An Assertion is a statement about an entity and the process by which it was ascertained. An Assertion can be made at one time and assert the state of something at another time. Examples: a measurement, an observation, an annotation.",,,,http://www.w3.org/2000/01/rdf-schema#Class,,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
specimenDescription,Specimen Description,MaterialAssertion,Specimen,Comments or notes about the specimen (physical object) especially those that distinguish the specimen from similar materials in a collection,Showpiece. Historically valuable. Extraordinary composition. Two generations of quartz.,See broader concept http://rs.tdwg.org/dwc/terms/occurrenceRemarks for additional usage notes,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
verbatimSize,Verbatim Size,MaterialAssertion,Specimen,The verbatim size of a specimen as originally described in primary source material,10 cm x 5 cm X 5 cm | largest diameter 16 cm | width 3 inches,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
maxSpecimenDimensionInMillimeters,Maximum Axial Dimension,MaterialAssertion,Specimen,Maximum axial dimension of specimen measured in millimeters,100,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
verbatimMass,Verbatim Mass,MaterialAssertion,Specimen,The original reported verbatim mass includes original units of measurement,11.01 Lbs | 105.07 g | 2.45 kg,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
measuredMassInGrams,Measured Mass In Grams,MaterialAssertion,Specimen,Mass of specimen measured in grams,4994,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
mineralDescription,Mineral Description,MaterialAssertion,Mineral,"Comments or notes about the mineral instance, especially those that distinguish the mineral from similar materials in a collection",Pink fluorite on quartz. Lengenbachite on sugar-grained dolomite. Epitaxial growth on kyanite. Doubly terminated quartz crystals,"The scope of this term is strictly to a mineral within the context of the specimen. Specimen level descriptions belong in the related term, specimenDescription. Sibling concept to http://rs.tdwg.org/dwc/terms/occurrenceRemarks",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
maxCrystalDimensionInMillimeters,Maximum Axial Dimension,MaterialAssertion,Mineral,Maximum axial dimension of largest crystal measured in millimeters,30,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
associatedMinerals,Associated Minerals,MaterialAssertion,Mineral,List of secondary minerals associated with a mineral in a specimen,calcite | dolomite | baryte,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
aggregateForm,Aggregate Form,MaterialAssertion,Mineral,Observable crystal shapes of an assemblage of minerals,radial | botryoidal | oolithic,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
crystalHabit,Crystal Habit,MaterialAssertion,Mineral,Optically discernable crystal faces or shapes,isometric | tabular | fibrous | dogtooth | nailhead,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
crystalForm,Crystal Form,MaterialAssertion,Mineral,Geometric shape of a crystal,cube | ditrigonal pyramid | scalenohedron,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Alternate definition: A crystal form is a set of crystal faces that are related to each other by symmetry.,,minext,http://rs.tdwg.org/minext/terms/
twinningLaw,Twinning Law,MaterialAssertion,Mineral,Short description of any physically discernable twinning,Dauphiné twinning/Dauphiné Law | Japan twinning/Japan Law | Brazil twinning/Brazil Law,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
color,Color,MaterialAssertion,Mineral,The intrinsic color of a mineral,Blue | green | red | iradescent,"Here, color is caused by the absorption, or lack of absorption of different wavelengths of natural light by a particular mineral",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Color under natural light conditions,,minext,http://rs.tdwg.org/minext/terms/
exsolutionTexture,Exsolution Texture,MaterialAssertion,Mineral,A brief description of textures formed by exsolution,Ilmenite lamellae in olivine. Clinopyroxene lamellae along the (100) plane of orthopyroxene. Antiperthite exsolution.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
cleavage,Cleavage,MaterialAssertion,Mineral,"Type of breakages along a plane of weakness, especially those parallel to crystal faces",Extraordinary well developed rectangular cleavage,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
luster,Luster,MaterialAssertion,Mineral,"The reflection of light from the surface of a mineral, described by its quality and intensity",Metallic | diamond | glass,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
inclusions,Inclusions,MaterialAssertion,Mineral,Short description of any inclusions present within a mineral that includes the phase and physical characteristics,Star-shaped rutile needles in quartz. Needles of tourmaline in quartz (blue quarz). Fluid inclusions (liquid bubble and single crystal) in quartz.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,"Inclusions are defined as small foreign bodies (solid, liquid, or gas) within the physical bounds of a material commonly trapped during formation",,minext,http://rs.tdwg.org/minext/terms/
luminescence,Luminescence Description,MaterialAssertion,Mineral,The type and nature of light emitted from the mineral upon receiving energy from an external source.,green fluorescence | pink under short wave UV light,"Includes all types of luminescence including fluorescence (all wavelengths) and phosphorescence. Recommended best practice is to use nomenclature in part based on the source of energy, or the trigger for the luminescence.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
alterationDescription,Alteration Description,MaterialAssertion,Mineral,A description of any observed changes in the composition of a mineral brought about by physical or chemical processes related to changes in the physical or chemical environment.,,,"http://linked.data.gov.au/def/geological-observation-type/alteration, http://www.opengis.net/gsml/4.1/GeoSciML-Extension",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,Definition adopted from the concepts under term sources,minext,http://rs.tdwg.org/minext/terms/
Hazard,Hazard,Hazard,,"Properties that describe sources of of potential damage, harm, or adverse health effects on something or someone.",,,,http://www.w3.org/2000/01/rdf-schema#Class,,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
hazardType,Hazard Type,Hazard,Specimen,Term that belongs to a hazard classification scheme based on a set of unique characteristics and negative health outcomes.,Carcinogen | skin irritant | radioactive | toxic,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
hazardDescription,Hazard Description,Hazard,Specimen,General remarks regarding the hazard type within the scope of the specific collection object,asbestos | slightly radioactive,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
Conservation,Conservation,Conservation,,"Processes, protocols, and techniques established for the purpose of the protection and preservation of a mineral or specimen",,,,http://www.w3.org/2000/01/rdf-schema#Class,,FALSE,,"Changed level to Specimen to simplify usage. If conservation is associated with a specific mineral in a compound specimen, then that should be declared in the description",minext,http://rs.tdwg.org/minext/terms/
treatments,Treatments,Conservation,Specimen,Description of any processes or curatorial actions taken specifically to mitigate damage,Star-shaped rutile needles in quartz | Needles of tourmaline in quartz (blue quartz) | Fluid inclusions (liquid bubble and single crystal) in quartz,Includes both proactive and reactive actions,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
handlingRequirements,Handling Requirements,Conservation,Specimen,A summary of the procedural requirements employed to preserve and protect the specimen during physical interaction,Handle with gloves | Not to be taken ourt of storage medium | delicate | avoid contact with direct sunlight,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
damageRemarks,Damage Remarks,Conservation,Specimen,A general description of any material changes to a mineral which is perceived to have negatively affected an item’s value-defining aspects.,"Due to oxidation and hydration of the pyrite in the coal, the sample has largley decayed to a coal powder with some larger coal pieces | Some terminations broken off | Attached label not legible (or torn, or covered)",,"Royce, K., Baars, C., & Viles, H. (2021). Defining Damage and Susceptibility, with Implications for Mineral Specimens and Objects: Introducing the Mineral Susceptibility Database. Studies in Conservation, 68(3), 298–317. https://doi.org/10.1080/00393630.2021.2015947",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
Chemistry,Chemistry,Chemistry,,Properties that describe the chemical composition of a mineral,,,,http://www.w3.org/2000/01/rdf-schema#Class,,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
measuredFormula,Measured Formula,Chemistry,Mineral,"A concise expression of the chemical composition of a mineral that shows the number of atoms of each element in a molecule, their spatial arrangement, and their linkage to each other.","(K0.8, Na0.2)(Al0.95, Fe0.05)Si3O8",,Defintion adopted from Structural Formula (http://purl.obolibrary.org/obo/MS_1000867) in the Mass spectrometry ontology,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
chemistryRemarks,Chemistry Remarks,Chemistry,Mineral,General remarks about the chemical and isotopic composition of a mineral,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
measuredFormulaSource,Measured Formula Source,Chemistry,Mineral,A list (concatenated and separated) of resources associated with the reported measured chemistry described specifically enough to allow anyone in the future to use the same resources.,"Novak, G. A., & Gibbs, G. V. (1971). The crystal chemistry of the silicate garnets. American Mineralogist: Journal of Earth and Planetary Materials, 56(5-6), 791-825.","Recommended best practice is to use full bibliographic citations, global unique identifiers, or resolvable and persistent URIs. See the broader concept http://rs.tdwg.org/dwc/terms/associatedReferences",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
analysisType,Analysis Type,Chemistry,Mineral,The technique utilized to determine the chemical composition of a mineral,X-ray Diffraction | X-ray fluorescence | Electron probe microanalysis | Scanning electron microscopy with energy-dispersive X-ray spectroscopy,Acronyms should be avoided even for widely recognized annotations. Recommended best practice is to use a controlled vocabulary such as https://vocabs.ardc.edu.au/viewById/650,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
geologicProvince,Geologic Province,dwc:GeologicContext,Specimen,"Extensive named region with a similar geologic history throughout or similar structural, petrographic, or physiographic features in which the dwc:Location occurs",Coastal Plain | Piedmont | Blue Ridge | Colorado Plateaus | Basin and Range | Dalradian Metamorphic Belt,,"Neuendorf, K. K. (2005). Glossary of geology. Springer Science & Business Media.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
complex,Complex,dwc:GeologicContext,Specimen,"A lithostratigraphic unit composed of diverse types of any class or classes or rocks, characterized by irregularly mixed lithology or highly complicated structural relations, and does not follow the law of superposition",Catalina Core Complex (named unit) igneous complex | injection complex | metamorphic complex | basement complex,"Due to the unstructured nature of complexes, both named units and lithological descriptive terms are acceptable values.","Murphy, M. A., & Salvador, A. (1999). International stratigraphic guide—an abridged version. Episodes Journal of International Geoscience, 22(4), 255-271.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Complexes are characterized by irregularly mixed lithology or by highly complicated structural relations to the extent that the original sequence of the component rocks may be obscured and the individual rocks or rock sequences cannot be readily mapped. Source Term extended to include general descriptive terms for geologic units,,minext,http://rs.tdwg.org/minext/terms/
suite,Suite,dwc:GeologicContext,Specimen,"A body of or one or more intrusive, pervasively deformed, or highly metamorphosed rock, generally non-tabular and lacking primary depositional structures, and characterized by lithic homogeneity",Ashe Metamorphic Suite,"Suite is comparable to the lithostratigraphic ranks, group or formation. Encompasses the geologic unit types, lithodeme and suite, as defined in the North American Stratigraphic Code","North American Commission on Stratigraphic Nomenclature. (2005). North American stratigraphic code. AAPG Bulletin, 89(11), 1547-1591.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Adopted the term suite to represent both lithodeme and suite geologic unit types as defined in the North American Stratigraphic Code,,minext,http://rs.tdwg.org/minext/terms/
modeOfOccurrence,Mode of Occurrence,dwc:GeologicContext,Specimen,A short description of the physical manifestation of a geologic process or geologic environment where a mineral naturally occurs,Hydrothermal vents | veins | lightning impact | carbonate shelf | volcanic,Recommended best practice is to use a controlled vocabulary such as https://vocabs.ga.gov.au/object?uri=https%3A//pid.geoscience.gov.au/def/voc/ga/ModesOfOccurence,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Mode of occurrence reflects the environment of a mineral's formation. Minerals bear a genetic relationship with the rock types in association with which they are formed.,,minext,http://rs.tdwg.org/minext/terms/
geologicEvent,Geologic Event,dwc:GeologicContext,Specimen,An identifiable event during which one or more geological processes associated with the formation of a geological specimen or act to modify an existing geological specimen. ,Sevier orogeny | Alleghanian orogeny | Alpine orogeny | Variscan orogeny | Waipounamu Erosion surface | Vredefort impact,,gml:GeologicEvent,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
mineralSequence,Mineral Sequence,dwc:GeologicContext,Specimen,A list of minerals in a specimen ordered in a manner that illustrates the relative timing of mineral formation within a specimen.,Sphalerite > Quartz > Pyrite | Calcite > Quartz > Sphalerite > Pyrite,"The list should only contain minerals that belong to a readily identifiable sequence of formation. Therefore, a list may contain a subset of the minerals in a specimen. Minerals that formed in-situ with one another are separated by a plus. Minerals that formed in the sequence are separated by a greater than symbol.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
sampledFeature,Sampled Feature,dwc:Location,Specimen,"The type of physical feature, both naturally-occuring and anthropogenic in origin, sampled during a sampling event (dwc:Event) at a dwc:Location",float | mine dump | mine/quarry pit | outcrop | erratic boulder,"A sampled feature has a type and optional name that distinuishes the feature from similar entities. Sampled features can be anthropogenic (roadcut, borehole) or naturally occurring (outcrop).",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,"A sampled feature has a type and optional name that distinuishes the feature from similar entities. Sampled features can be anthropogenic (roadcut, borehole) or naturally occurring (outcrop).",,minext,http://rs.tdwg.org/minext/terms/
namedPlace,Named Place,dwc:Location,Specimen,"The full, unabbreviated name of a geographic location not otherwise categorized by a dwc:Location property that is naturally occurring or anthropogenic in origin within a historical, administrative, or cultural context in which dcterms:Location occurs.",Susanna Mine | Craigleith Quarry | Red Cloud Mine,"Only the names of locations anthropogenic in origin should use the namedPlace property. For naturally-occurring locations, please use terms in dwc:GeologicContext (e.g., geologicProvince) class. For named places represented as URIs or global unique identifiers, please use dwc:locationID.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,http://rs.tdwg.org/minext/terms/
isTypeLocality,Is Type Locality,dwc:Location,Mineral,Whether or not the dwc:Locaiton is the same locality where the original material came from for the formal definition of the mineral species.,True | False,,https://www.mindat.org/glossary/type_locality,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,boolean,FALSE,,,minext,
chronometricAgeEvent,Chronometric Age Event,dwc:ChronometricAge,Mineral,Geologic event or process the chronometric age of a mineral is attributed too,Maximum Depositional Age | Igneous Crystallization,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,minext,
